time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-04T21:28:25.000Z,19.055,-67.794,11,3,Md,12,324,1.10133454,0.2,pr,pr15035009,2015-02-05T05:30:52.071Z,"82km NE of Punta Cana, Dominican Republic",earthquake
2015-02-04T21:23:46.000Z,61.4048,-150.7829,68.8,1.3,ml,,,,0.54,ak,ak11502544,2015-02-04T21:41:51.747Z,"46km WSW of Big Lake, Alaska",earthquake
2015-02-04T21:23:13.000Z,60.285,-142.9457,19.5,0.5,ml,,,,0.33,ak,ak11502541,2015-02-04T21:41:53.036Z,"37km NW of Cape Yakataga, Alaska",earthquake
2015-02-04T21:16:40.570Z,35.4315,-120.5751667,0.01,1.07,md,35,58,0.03387,0.09,nc,nc72391911,2015-02-05T00:35:05.221Z,"5km NNE of Santa Margarita, California",quarry blast
2015-02-04T21:04:25.000Z,65.038,-147.3253,0.7,1.7,ml,,,,0.92,ak,ak11502517,2015-02-04T21:28:32.723Z,"28km NE of Fairbanks, Alaska",earthquake
2015-02-04T20:55:06.660Z,34.225,-116.7573333,13.61,0.94,ml,17,119,0.1358,0.07,ci,ci37312896,2015-02-04T21:30:29.200Z,"9km ESE of Big Bear City, California",earthquake
2015-02-04T20:54:42.870Z,37.4898333,-118.8451667,8.57,0.86,md,21,113,0.09826,0.03,nc,nc72391906,2015-02-04T22:43:02.813Z,"20km SSE of Mammoth Lakes, California",earthquake
2015-02-04T20:44:24.360Z,37.322,-122.0985,0.01,1.69,md,13,78,0.01275,0.09,nc,nc72391901,2015-02-05T00:08:03.766Z,"3km S of Loyola, California",quarry blast
2015-02-04T20:42:16.890Z,36.7721667,-121.283,8.23,1.28,md,40,46,0.04652,0.07,nc,nc72391896,2015-02-05T09:22:05.346Z,"8km ESE of Ridgemark, California",earthquake
2015-02-04T20:33:20.000Z,63.9518,-148.8789,0.1,2,ml,,,,0.68,ak,ak11502509,2015-02-04T21:01:04.281Z,"11km NNE of Healy, Alaska",earthquake
2015-02-04T20:33:13.970Z,38.8241653,-122.7659988,2.77,0.55,md,11,76,0.007,0.02,nc,nc72391891,2015-02-04T21:01:05.146Z,"3km W of Cobb, California",earthquake
2015-02-04T20:31:40.400Z,36.2446667,-118.4145,9.33,1.31,ml,18,152,0.1235,0.17,ci,ci37312880,2015-02-04T21:27:40.310Z,"37km W of Olancha, California",earthquake
2015-02-04T20:30:41.000Z,64.5757,-150.3444,6.3,1.9,ml,,,,0.91,ak,ak11502506,2015-02-04T20:47:31.187Z,"49km SSE of Manley Hot Springs, Alaska",earthquake
